_id,country,name,overallRating,rating.Academics[0],rating.Food[0],rating.Dorms[0],rating.Social[0],rating.Location[0],rating.Opportunities[0],rating.Clubs[0],rating.Safety[0]
658ccbbb738d9d84019c1c73,DE,AKAD Hochschulen für Berufstätige - Fachhochschule Leipzig,,,,,,,,,
658ccbbb738d9d84019c1c74,PL,Akademia Podlaska,,,,,,,,,
658ccbbb738d9d84019c1c75,AT,Akademie der bildenden Künste Wien,,,,,,,,,
658ccbbb738d9d84019c1c76,GE,Akaki Tsereteli State University,,,,,,,,,
658ccbbb738d9d84019c1c77,TR,Akdeniz University,,,,,,,,,
658ccbbb738d9d84019c1c78,EG,Akhbar El Yom Academy,,,,,,,,,
658ccbbb738d9d84019c1c79,JP,Akita University,,,,,,,,,
658ccbbb738d9d84019c1c7a,JP,Akita University of Economics and Law,,,,,,,,,
658ccbbb738d9d84019c1c7b,GH,Akrofi-Christaller Institute of Theeology; Mission and Culture,,,,,,,,,
658ccbbb738d9d84019c1c7c,ET,Aksum University,,,,,,,,,
658ccbbb738d9d84019c1c7d,KZ,Aktau State University,,,,,,,,,
658ccbbb738d9d84019c1c7e,NG,Akwa Ibom State University of Technology,,,,,,,,,
658ccbbb738d9d84019c1c7f,BH,Al Ahlia University,,,,,,,,,
658ccbbb738d9d84019c1c80,MA,Al Akhawayn University,,,,,,,,,
658ccbbb738d9d84019c1c81,JO,Al al-Bayt University,,,,,,,,,
658ccbbb738d9d84019c1c82,EG,Al Azhar University,,,,,,,,,
658ccbbb738d9d84019c1c83,SD,Al Fashir University,,,,,,,,,
658ccbbb738d9d84019c1c84,AE,Al Ghurair University,,,,,,,,,
658ccbbb738d9d84019c1c85,JO,Al Hussein Bin Talal University,,,,,,,,,
658ccbbb738d9d84019c1c86,LB,Al Imam Al-Ouzai University,,,,,,,,,
658ccbbb738d9d84019c1c87,AE,Al Khawarizmi International College,,,,,,,,,
658ccbbb738d9d84019c1c88,IQ,Al Maarif University College,,,,,,,,,
658ccbbb738d9d84019c1c89,MY,Al Madinah International University,,,,,,,,,
658ccbbb738d9d84019c1c8a,IQ,Al Mamon University College,,,,,,,,,
658ccbbb738d9d84019c1c8b,IQ,Al Mansour University College,,,,,,,,,
658ccbbb738d9d84019c1c8c,IQ,Al Muthanna University,,,,,,,,,
658ccbbb738d9d84019c1c8d,IQ,Al Nahrain University,,,,,,,,,
658ccbbb738d9d84019c1c8e,IQ,Al Rafidain University College,,,,,,,,,
658ccbbb738d9d84019c1c8f,IQ,Al Rasheed University College,,,,,,,,,
658ccbbb738d9d84019c1c90,IQ,Al Turath University College,,,,,,,,,
658ccbbb738d9d84019c1c91,IQ,Al Yarmouk University College,,,,,,,,,
